time;mode;I [W/m2];C;f;ha;v;Kb;Xb;Ae;Ac;beta [degree];N;m_dot [kg/sec];Cp;Tau;alpha;Ta [C];Ta [K] ;Tin [C];Tin [K];Tout [C];Tout [K];Tplate [C] ;Tplate [K];Ub [W/m2 K];Ue [W/m2 K];Fr;effi_thermosy;effi_forced;Ttank  [C] ;Pin [Kpa];Pout  [Kpa]
10:50:00;Thermosyphone;450;342.760484;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;34.5;307.5;30.8;303.95;31.2;304.35;32.4;305.55;0.8;0.48;0;0;0.4272;37.5;108.1;103.3
11:00:00;Thermosyphone;450;342.760484;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;35.26;308.26;37.6;310.75;63.3;336.45;77.9;351.05;0.8;0.48;0;0;;37.5;108.1;103.3
11:10:00;Thermosyphone;450;342.760484;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;35.2;308.2;37.6;310.75;64.3;337.45;78.1;351.25;0.8;0.48;0;0;;37.7;108.2;103.3
11:20:00;Thermosyphone;450;342.760484;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;35.4;308.4;37.7;310.85;63.7;336.85;77.8;350.95;0.8;0.48;0;0;;37.7;108.1;103.1
11:30:00;Thermosyphone;450;342.760484;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;35.4;308.4;37.7;310.85;63.7;336.85;77.6;350.75;0.8;0.48;0;0;;37.8;108.1;103.3
11:40:00;Thermosyphone;450;342.760484;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;36.1;309.25;37.8;310.95;63.5;336.65;78.2;351.35;0.8;0.48;0;0;0.3947;38.2;108.1;103.3
11:50:00;Thermosyphone;450;342.760484;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;35.9;309.05;37.8;310.95;63.5;336.65;77.2;350.35;0.8;0.48;0;0;;39.1;108.2;103.3
12:00:00;Thermosyphone;450;342.760484;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;36.9;310.05;37.9;311.05;63.3;336.45;77.6;350.75;0.8;0.48;0;0;;40.1;108.1;103.4
12:10:00;Thermosyphone;450;342.76048;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;36.2;309.35;38;311.15;64;337.15;77.5;350.65;0.8;0.48;0;0;;40.9;108.3;103.3
12:20:00;Thermosyphone;450;342.76048;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;36.4;309.55;38.2;311.35;63.8;336.95;78.2;351.35;0.8;0.48;0;0;;43.2;108.1;103.2
12:30:00;Thermosyphone;450;342.76048;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;36.5;309.65;38.5;311.65;66.7;339.85;79.5;352.65;0.8;0.48;0;0;;44.1;108.1;103.3
12:40:00;Thermosyphone;450;342.76048;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;36.4;309.55;38.4;311.55;68.4;341.55;80.1;353.25;0.8;0.48;0;0;0.3831;45.5;108.4;103.5
12:50:00;Thermosyphone;450;342.76048;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0;4180;0.85;0.96;36.6;309.75;38.7;311.85;68.7;341.85;81.5;354.65;0.8;0.48;0;0;;46.08;108.2;103.4
13:00:00;Thermosyphone;450;342.76048;1.456348625;9.5;1;0.04;0.05;0.6;1;60;1;0.00033;4180;0.85;0.96;36.8;309.95;38.8;311.95;73.5;346.65;84.2;357.35;0.8;0.48;0.132248803;0.1064;;47.7;108.5;103.4
