,I [W/m2],m_dot [kg/sec],Cp,Ta [C],Tin [C],Tplate [C] ,Ttank  [C] ,Pin [Kpa],Pout  [Kpa],TIME
9,450,0.0,4180,36.4,38.2,78.2,43.2,108.1,103.2,2024-11-27 12:20:00
16,450,0.00033,4180,36.6,40.0,82.9,51.0,108.4,103.4,2024-11-27 13:30:00
13,450,0.00033,4180,36.8,38.8,84.2,47.7,108.5,103.4,2024-11-27 13:00:00
33,450,0.000416,4180,38.1,51.7,88.5,63.5,108.5,103.3,2024-11-27 16:20:00
10,450,0.0,4180,36.5,38.5,79.5,44.1,108.1,103.3,2024-11-27 12:30:00
20,450,0.00042,4180,37.2,42.3,83.7,54.6,108.4,103.4,2024-11-27 14:10:00
1,450,0.0,4180,35.26,37.6,77.9,37.5,108.1,103.3,2024-11-27 11:00:00
32,450,0.000416,4180,37.8,51.0,88.4,63.0,108.5,103.4,2024-11-27 16:10:00
6,450,0.0,4180,35.9,37.8,77.2,39.1,108.2,103.3,2024-11-27 11:50:00
12,450,0.0,4180,36.6,38.7,81.5,46.08,108.2,103.4,2024-11-27 12:50:00
2,450,0.0,4180,35.2,37.6,78.1,37.7,108.2,103.3,2024-11-27 11:10:00
28,450,0.00038,4180,38.2,48.1,86.1,60.8,108.6,103.3,2024-11-27 15:30:00
22,450,0.00042,4180,37.5,43.5,84.4,56.1,108.5,103.3,2024-11-27 14:30:00
3,450,0.0,4180,35.4,37.7,77.8,37.7,108.1,103.1,2024-11-27 11:20:00
37,450,0.000418,4180,38.7,54.4,91.0,65.6,108.6,103.3,2024-11-27 17:00:00
35,450,0.000418,4180,38.9,53.1,90.1,64.6,108.5,103.3,2024-11-27 16:40:00
4,450,0.0,4180,35.4,37.7,77.6,37.8,108.1,103.3,2024-11-27 11:30:00
34,450,0.000416,4180,38.4,52.3,89.8,64.4,108.5,103.3,2024-11-27 16:30:00
24,450,0.00033,4180,37.8,45.1,84.0,58.1,108.6,103.3,2024-11-27 14:50:00
31,450,0.00038,4180,37.4,50.4,88.4,62.1,108.5,103.4,2024-11-27 16:00:00
11,450,0.0,4180,36.4,38.4,80.1,45.5,108.4,103.5,2024-11-27 12:40:00
23,450,0.00033,4180,38.1,44.5,83.6,57.9,108.6,103.3,2024-11-27 14:40:00
19,450,0.00042,4180,37.6,41.4,84.7,53.6,108.5,103.4,2024-11-27 14:00:00
21,450,0.00042,4180,37.7,43.7,83.6,55.2,108.5,103.3,2024-11-27 14:20:00
8,450,0.0,4180,36.2,38.0,77.5,40.9,108.3,103.3,2024-11-27 12:10:00
15,450,0.00033,4180,36.6,39.5,83.1,49.8,108.4,103.4,2024-11-27 13:20:00
29,450,0.00038,4180,38.2,48.9,86.8,61.0,108.6,103.3,2024-11-27 15:40:00
