,I [W/m2],m_dot [kg/sec],Cp,Ta [C],Tin [C],Tplate [C] ,Ttank  [C] ,Pin [Kpa],Pout  [Kpa],Tout_pred
18,450.0,0.00042,4180.0,36.9,40.9,83.1,52.7,108.6,103.4,72.54999999999998
10,450.0,0.0,4180.0,36.5,38.5,79.5,44.1,108.1,103.3,68.4
35,450.0,0.000418,4180.0,38.9,53.1,90.1,64.6,108.5,103.3,78.75
1,450.0,0.0,4180.0,35.26,37.6,77.9,37.5,108.1,103.3,64.0
5,450.0,0.0,4180.0,36.1,37.8,78.2,38.2,108.1,103.3,63.8
30,450.0,0.00038,4180.0,37.4,49.6,87.9,61.6,108.5,103.4,76.95
16,450.0,0.00033,4180.0,36.6,40.0,82.9,51.0,108.4,103.4,72.30000000000001
20,450.0,0.00042,4180.0,37.2,42.3,83.7,54.6,108.4,103.4,72.63333333333334
6,450.0,0.0,4180.0,35.9,37.8,77.2,39.1,108.2,103.3,66.7
12,450.0,0.0,4180.0,36.6,38.7,81.5,46.08,108.2,103.4,72.9
2,450.0,0.0,4180.0,35.2,37.6,78.1,37.7,108.2,103.3,63.8
25,450.0,0.00033,4180.0,38.2,45.7,85.1,58.5,108.6,103.3,75.82000000000001
3,450.0,0.0,4180.0,35.4,37.7,77.8,37.7,108.1,103.1,63.839999999999996
34,450.0,0.000416,4180.0,38.4,52.3,89.8,64.4,108.5,103.3,78.75
4,450.0,0.0,4180.0,35.4,37.7,77.6,37.8,108.1,103.3,63.839999999999996
33,450.0,0.000416,4180.0,38.1,51.7,88.5,63.5,108.5,103.3,78.75
24,450.0,0.00033,4180.0,37.8,45.1,84.0,58.1,108.6,103.3,75.7
28,450.0,0.00038,4180.0,38.2,48.1,86.1,60.8,108.6,103.3,75.82000000000001
11,450.0,0.0,4180.0,36.4,38.4,80.1,45.5,108.4,103.5,68.55000000000001
23,450.0,0.00033,4180.0,38.1,44.5,83.6,57.9,108.6,103.3,76.54285714285716
19,450.0,0.00042,4180.0,37.6,41.4,84.7,53.6,108.5,103.4,72.54999999999998
26,450.0,0.00033,4180.0,38.2,46.7,84.7,59.2,108.5,103.3,75.7
7,450.0,0.0,4180.0,36.9,37.9,77.6,40.1,108.1,103.4,64.0
21,450.0,0.00042,4180.0,37.7,43.7,83.6,55.2,108.5,103.3,72.76
8,450.0,0.0,4180.0,36.2,38.0,77.5,40.9,108.3,103.3,63.8
15,450.0,0.00033,4180.0,36.6,39.5,83.1,49.8,108.4,103.4,71.0
29,450.0,0.00038,4180.0,38.2,48.9,86.8,61.0,108.6,103.3,76.95
