feature,abs_correlation
tout_k,0.999124732877381
plate_k,0.9565977268254658
plate_c,0.956055024320506
tank_c,0.9028479661952203
time_minutes,0.8908443095120837
ambient_k,0.865222058818442
ambient_c,0.8644569167562248
effi_forced,0.8631761214532587
pin_kpa,0.8538583580576161
mass_flow_kg_s,0.8427444826809205
water_liters_step,0.8427444826809197
tin_c,0.8341417976506896
tin_k,0.8334976013612811
water_liters_cum,0.8310226264548606
fr,0.826720432333298
effi_thermosy,0.8048788166466309
c,0.7277747867821679
pout_kpa,0.19994997037009485
ac,0.09826277834965502
tau,0.09799608617613474
ub_w_m2k,0.07089212344148596
f,0.05441369085876948
ha,0.052497098479192
irradiance_w_m2,0.049960649693254415
alpha,0.04684145486649231
n,0.041873693305599244
beta_deg,0.03274274393191621
v,0.028812529076051335
ue_w_m2k,0.028699323962540334
cp,0.024808222321501764
kb,0.020265549706891556
xb,0.012619719967280835
ae,0.006784466336807158
